Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Business Services,Calgary,37.06618868,38.23842168,39.77606868,40.87344765,45.38337848,45.02067745,45.57547245,45.25254183,49.3635624,56.7840511,62.31098818,66.4364605,78.60892868,79.00636858,87.4851495,85.27856533,82.85441525,92.10863475,95.74893553,102.5113275,106.8507095,113.6827115,109.207597,101.9673237,112.3090683,114.328405,127.1336003,127.371714
Construction,Calgary,20.48238648,22.84898805,25.36699405,24.89390305,24.0056033,24.05941528,24.44530838,27.56373613,30.01994608,30.1811488,35.12040635,35.33810225,35.3640618,45.09213198,41.4631791,45.0757796,47.9227615,52.16905788,50.6005601,58.40817745,62.95363873,72.12071168,67.84423205,66.49927215,72.33056098,71.55290348,79.61243055,83.80521165
"Finance, Insurance and Real Estate",Calgary,24.31809155,26.97187748,27.58973248,29.29851675,31.14450253,27.64284823,29.14295623,26.88517003,29.12452655,28.34208638,31.61595215,26.28716793,32.36045713,31.95268235,32.14424698,32.56200148,36.23407278,37.2266245,40.52905368,41.72803633,43.25598595,48.051781,46.3778094,46.5734393,37.57864503,39.93020223,42.06641478,44.9470495
Goods Producing Industries,Calgary,90.62787185,95.8739386,95.34107903,95.0755899,93.69017995,87.69633888,92.3891392,93.17660505,103.3619438,108.1998325,113.1637083,118.741397,109.6160175,133.7722513,134.6069175,139.0353913,139.1280825,143.1830088,140.9204085,171.9593588,175.9425058,180.8625703,164.7112855,165.0101313,174.5042958,196.1228098,194.3894918,201.1261525
Information and Cultural Industries,Calgary,10.33963991,9.192554575,10.89930416,9.592693865,9.650617218,10.67866055,8.488273168,10.39714324,12.41447105,15.15474298,14.62607353,17.73398063,16.14642793,15.03250698,16.9892934,18.7204621,21.7012597,17.63081993,16.93824098,15.6310736,15.90553155,15.46900248,14.74960888,14.52198153,14.31939563,16.68225218,13.5533105,13.16034803
Manufacturing,Calgary,29.01848203,32.94572355,33.09931153,32.46657535,31.52682165,26.63446215,30.19823645,30.1871042,36.009173,38.6167342,40.19383473,47.1915403,43.19277405,55.78140228,51.28298335,50.60908935,53.33256343,51.65403435,42.6447037,50.34451528,47.25820055,48.80666428,42.38914238,45.05652635,46.02225018,52.71901008,46.22224385,49.2429614
Education and Healthcare,Calgary,54.25217978,54.42897983,56.28709995,58.76366103,58.1964347,59.59521785,67.42805598,60.47936808,64.97532913,64.4493703,70.04795985,71.53237705,71.56925348,78.59855768,77.69594405,80.7475129,83.4666362,78.96964355,96.65609365,104.933113,102.9792966,99.68230318,108.7000193,109.922098,113.2030905,116.625073,125.941598,126.787331
Personal Services,Calgary,43.70339318,43.79259585,44.36766053,47.51757223,48.2900011,52.72569835,50.9672893,57.37217553,57.23775818,59.06174053,62.19972305,68.74222275,65.18078725,69.09272068,76.96935498,76.5021861,79.73934253,86.75365075,74.64485085,80.39524295,82.60535828,88.9035845,96.19083105,91.3410884,95.51039488,103.171956,105.8054267,104.6750667
Primary and Utilities,Calgary,41.1270033,40.079227,36.87477345,37.71511153,38.15775505,37.0024614,37.7455944,35.42576478,37.33282468,39.40194945,37.84946733,36.21175463,31.05918183,32.89871715,41.86075495,43.35052228,37.8727576,39.35991668,47.67514485,63.2066661,65.7306666,59.9351943,54.47791135,53.45433265,56.15148433,71.85089625,68.55481738,68.0779795
Public Administration and Defence,Calgary,19.69231393,19.94725305,19.14927345,19.35638613,19.22196705,19.54314725,16.33192438,15.34026475,16.54664723,19.4740547,20.883786,20.64957978,18.4754339,16.5445816,16.236327,17.34263538,17.79989513,19.09347623,17.62663028,18.85589315,23.36333883,26.33148263,24.65600295,22.67185055,24.13806338,24.0029442,22.79785405,22.63074648
Services Producing Industries,Calgary,272.6772428,279.1885465,290.6967068,295.6125425,296.383541,300.0010203,297.9891093,305.0603385,316.7314085,339.4495485,356.424275,377.336758,403.806308,406.4050695,428.7769153,436.346584,450.3371058,463.2642798,479.62323,498.4793193,513.716618,534.3620618,544.8816583,536.1130085,545.9139065,560.742628,584.8329098,598.4482935
All Industries,Calgary,363.3051148,375.062485,386.0377858,390.6881325,390.073721,387.6973595,390.3782488,398.236944,420.093352,447.649381,469.5879835,496.0781555,513.4223255,540.177321,563.3838328,575.3819755,589.4651883,606.447289,620.5436388,670.4386783,689.6591235,715.2246323,709.5929438,701.1231395,720.4182018,756.865438,779.222402,799.574446
Transportation and Warehousing,Calgary,20.4930585,21.50345948,24.3750492,23.8260132,19.89244255,20.02466653,19.92867953,24.37250875,23.92151818,29.1606453,27.8366175,34.15952473,38.2525174,37.65878528,38.0390468,41.30392923,37.99964153,37.17692745,43.6812875,38.63454815,41.25888078,36.97366853,42.29129375,40.80445205,40.34391753,42.43358053,45.4605075,49.47043943
Wholesale and Retail Trade,Calgary,62.81237725,65.11340433,68.25251818,66.38425183,64.60419755,64.77010433,60.12645848,64.9611666,63.1475958,67.02285723,66.90317475,71.79544498,83.21250233,78.51886633,83.2175527,83.88929155,90.54184245,94.30450295,93.79813778,95.79008488,97.49751645,105.2675284,102.7084958,108.310775,108.5113308,103.568215,102.0741981,109.4055988
Business Services,Edmonton,32.29368443,32.8908837,33.43278515,33.66918108,29.92093348,32.36654853,35.15609435,36.85385375,36.22269065,40.60444348,44.59665003,46.2253215,48.2596008,49.16422275,48.77457603,55.75204998,59.94671585,56.71307948,58.79047225,57.0661038,68.43920363,71.8814792,67.77518545,68.6055801,69.21619145,72.2113443,73.78623325,83.0872495
Construction,Edmonton,23.15250338,27.1381873,28.07215818,29.49250658,29.85670565,28.31151938,27.08655058,25.8587946,27.57196403,31.38411578,27.40790053,30.55968613,34.907505,34.17650148,41.68929468,46.65311725,47.95425585,51.77226778,52.3464477,57.21133945,66.70709755,70.49867308,61.95426073,67.592446,74.85483275,86.89833438,84.69180805,89.28118148
"Finance, Insurance and Real Estate",Edmonton,23.35382445,23.42313093,26.72063093,27.95647458,28.28848763,29.67490548,27.32762295,26.96526638,26.49934278,23.48569125,26.85535233,29.96541808,28.93015485,29.5953935,30.73282278,31.39216248,27.5843871,31.88871165,31.2268346,32.55149053,30.01364978,36.4999102,36.3800861,34.58782898,31.23260628,31.49160648,35.84771433,33.55523015
Goods Producing Industries,Edmonton,78.19173025,81.97039213,84.00798173,80.69633565,80.64426053,81.82343368,79.96473858,83.39955468,93.30497225,90.84719998,96.49116483,99.67059785,110.1301888,101.2077086,107.4803815,121.0102948,121.4471185,127.623157,125.2619985,128.0944635,147.3825425,146.669362,136.9885385,137.8725375,156.2813178,178.021313,184.655198,188.2184335
Information and Cultural Industries,Edmonton,12.56962653,15.45088773,12.53384675,13.04181535,12.17074395,12.04053508,11.6619322,13.37101463,14.3563289,14.50992553,13.51791048,17.22017798,11.63913223,11.26626775,11.55747913,13.19054543,11.39911021,12.51055518,11.8133222,11.73079983,14.10210625,11.19043398,11.94274373,9.816670708,12.431011,9.9035848,8.172901885,9.8455329
Manufacturing,Edmonton,37.44467303,39.32051783,37.59591383,35.84299775,35.04024353,37.400916,36.59976723,40.83225163,41.3806431,36.84529583,44.34253065,43.85936118,55.38947028,46.5294727,48.39125808,55.64279108,50.14812273,53.225107,48.7097092,47.1441036,53.4706776,49.4474112,44.25642023,40.7946746,51.50093948,48.6162975,58.73542948,56.81479745
Education and Healthcare,Edmonton,69.39458263,71.9208225,78.21540378,77.23294723,84.22495528,82.84114778,79.27721103,80.546719,80.63827718,82.20012828,80.5547217,84.4034756,89.9239261,85.97726618,95.34899245,95.9055131,93.25215005,103.548057,99.62111203,104.7701446,113.373016,112.249122,116.7533725,124.3823885,128.0949758,127.7405878,124.5494175,125.0087635
Personal Services,Edmonton,54.96519908,52.15475718,48.75348595,55.2810324,54.19337468,56.917883,60.61121663,57.91083313,64.64066568,61.91709753,69.44036675,68.66090598,66.03514235,72.36045295,69.45926275,69.7580214,77.37728455,76.54002653,74.8631193,75.19129563,82.2715295,80.0679018,86.53462575,89.9281975,94.65776633,93.38839863,101.7842235,107.15853
Primary and Utilities,Edmonton,17.59455385,15.51168698,18.33990973,15.3608313,15.74731135,16.11099828,16.27842083,16.70850848,24.35236515,22.61778838,24.74073375,25.2515505,19.83321328,20.50173425,17.39982868,18.71438648,23.34474003,22.62578208,24.20584178,23.73902063,27.20476725,26.72327768,30.7778574,29.4854166,29.92554548,42.50668128,41.22796035,42.12245465
Public Administration and Defence,Edmonton,34.95295243,36.46394388,39.65700655,37.59846068,37.8065396,36.5675776,32.44784015,32.46972803,27.80650805,28.7090314,30.36175648,27.2200675,26.97875823,25.93816278,28.85426525,29.0308531,33.96432258,31.69838035,30.75967708,40.44275033,34.8289771,36.5157878,42.29058705,38.08411435,40.18650073,40.51054405,38.81176975,38.8315346
Services Producing Industries,Edmonton,322.3829553,329.800616,334.7298773,345.2200773,347.6146728,346.4783515,341.515715,345.47132,348.9065405,350.5878518,369.5884298,374.5287308,372.6066295,389.565791,400.2474383,404.3050605,423.3250463,435.0142673,435.8990378,452.1686438,470.5154468,496.9649035,506.227476,501.4894565,522.8670683,528.1695763,543.3471988,556.411882
All Industries,Edmonton,400.5746855,411.771008,418.737859,425.916413,428.2589333,428.3017853,421.4804538,428.8708745,442.211513,441.4350518,466.0795945,474.1993288,482.7368183,490.7734995,507.7278193,525.315355,544.7721648,562.6374243,561.1610363,580.2631073,617.8979893,643.6342653,643.2160143,639.3619935,679.1483858,706.1908893,728.0023968,744.6303155
Transportation and Warehousing,Edmonton,24.64942318,23.84032383,23.3685874,23.35064568,22.49307078,21.9260111,21.16528613,21.52122158,23.12849018,25.28780953,26.92318818,25.6220037,24.4222803,30.56336785,30.46891933,27.6535685,31.34214763,30.50126,30.3004397,32.90011983,32.8086239,36.13561033,30.10141005,35.43970475,33.22089523,36.37465325,39.99953698,44.79685458
Wholesale and Retail Trade,Edmonton,70.2036625,73.6558661,72.04813068,77.0895204,78.51656735,74.14374313,73.86851165,75.83268343,75.61423725,73.87372495,77.33848368,75.21136048,76.41763473,84.70065708,85.05112025,81.6223465,88.4589281,91.61419713,98.52406068,97.5159392,94.67834063,112.4246583,114.449465,100.6449716,113.8271215,116.5488563,120.3954018,114.128187
Business Services,Alberta,83.98935628,86.0113347,91.04001733,92.38635753,93.96254948,97.20190493,102.672818,106.6669425,112.257859,122.7986675,132.8995893,143.4641655,159.292442,163.4313028,171.9785693,178.8196388,182.4117295,187.373916,199.2989033,207.2214008,223.8373468,232.7968303,222.1047605,222.675235,235.3803403,239.564967,254.217251,263.260868
Construction,Alberta,68.63826613,77.11546128,80.8248595,83.65815713,81.42034875,81.58078958,81.19716703,86.4466924,93.22489798,97.7240524,97.0040916,104.1572021,115.291609,125.4090358,130.579734,139.587267,144.4072005,161.1075228,163.238867,176.6983253,198.039798,216.1520568,202.0388763,200.3085248,218.0008505,236.1387265,243.9801795,256.2534805
"Finance, Insurance and Real Estate",Alberta,64.06396033,65.43678775,69.492413,74.05151868,76.4674268,75.84668693,73.9609356,73.5805875,75.35087038,73.192786,76.47786613,75.9609356,81.41997408,80.06054923,82.82460993,83.35177613,86.45865493,92.59701778,97.0798744,99.61136615,100.9112793,112.8834035,112.793035,110.2347325,98.43466998,97.52332938,104.1560158,104.6708563
Goods Producing Industries,Alberta,332.6600488,353.9650298,353.8554068,361.1600433,358.4409765,356.271642,360.19686,367.7042983,383.8409408,393.738925,404.2155875,416.5408055,419.212129,428.3057908,441.4992238,460.2365678,471.8628685,498.1158063,497.4810358,532.5060325,567.8693123,585.1094998,540.5750423,534.4630858,574.600883,623.0499088,641.908647,657.9147858
Information and Cultural Industries,Alberta,30.69578593,31.75455693,31.36308465,28.7972281,28.05772085,30.37862543,27.64458865,31.65979103,33.92325188,36.99363648,35.11933428,42.93787283,33.64067375,33.7893355,35.79163458,39.40858433,40.52249575,37.21952268,35.77325845,33.97985235,36.37029463,33.71388355,32.08394515,31.76033908,33.07840565,32.98931495,28.3290091,29.39752438
Manufacturing,Alberta,92.23660365,98.6333643,98.04174478,96.2814543,90.9623644,91.03800513,93.25159645,100.058977,106.6634065,106.8912503,118.3694855,125.6247178,134.9960138,137.833785,139.187098,147.485286,147.0712968,146.6789613,134.4863363,140.960531,144.4102263,140.1949465,123.4433255,125.285498,133.8163525,137.650806,142.662806,144.4027358
Education and Healthcare,Alberta,190.12182,194.0716823,203.660072,208.7569863,212.4950235,208.9749865,217.8003958,212.646665,217.4528598,224.9865633,232.9302295,239.7756548,247.7187658,250.9661808,257.8196478,264.8560713,268.44005,275.620736,296.6220575,314.0423283,322.1541413,315.2974453,333.090486,344.5172908,348.68259,359.4260198,357.9366098,365.1955258
Personal Services,Alberta,147.0198238,144.7240748,144.1092315,154.0636218,157.8669248,164.1947083,169.1926778,179.959192,186.650269,185.5086515,200.826111,210.481162,208.1213615,216.6489205,218.9366985,229.7862545,240.3152185,242.1352163,231.1625188,243.5126318,254.353197,257.7291145,277.4654598,275.4052148,291.036703,289.6972753,303.35526,314.9941795
Primary and Utilities,Alberta,171.7851793,178.216204,174.9888028,181.2204318,186.0582635,183.6528475,185.7480963,181.1986288,183.9526368,189.1236223,188.84201,186.7588853,168.9245058,165.0629703,171.7323918,173.1640148,180.3843713,190.329322,199.7558323,214.847176,225.4192878,228.7624963,215.0928405,208.8690633,222.78368,249.2603763,255.265661,257.2585698
Public Administration and Defence,Alberta,81.14133538,83.95394273,86.34358508,83.6371508,86.35834538,85.86928875,78.91697318,75.4625852,71.17773575,72.6103625,72.80340773,71.04849593,64.78790115,62.4096605,64.1804843,65.69431713,73.08360335,71.45192283,70.28035683,83.58651728,82.48988373,86.5071452,87.78369115,86.70703438,88.00458068,90.84331385,89.64146373,87.96464117
