Country,Canada,Alberta,British Columbia, Manitoba ,New Brunswick,Newfoundland,Nova Scotia,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
United States,402828309023,109547735087,17952837505,9019569903,11901167834,6859521357,3863055381,1334632,167341592057,682969145,52962692172,22586844406,108553286
China,19275780191,2889336248,6414559441,1006672044,86080994,607193255,278176607,794731,2337589394,12616988,2817025114,2824368733,76880
United Kingdom,15225666337,208830290,486283424,92618788,42697468,955294909,98621887,649138,11750819851,31387286,1464580888,93590740,7886
Japan,10730798280,1708127178,3676493843,715070736,75029736,216642331,80327655,18240,2052944964,25618445,1212670593,967277280,114971
Mexico,5491768434,951538185,102978010,346503104,17012738,9324345,46611427,1896283,2187467197,673846,1214723765,609745556,3049729
Hong Kong,4606244217,272423896,277464370,137239310,9234936,25899052,46633405,338095,3471360142,5826327,336136821,23549465,0
Italy (incl. Vatican City State),4171005317,224431088,184445920,32096446,16519028,1498401813,6251696,258,1146776912,3422142,520746874,537776889,21645
"Korea, South",4162362578,544145338,2130567419,80807865,5255702,59045550,59010814,36603,505989641,45670524,645818530,85505230,84301
Netherlands,3844588773,456718826,308916430,29093956,11670162,648604043,88448696,44568321,790419584,10175818,1382831968,72681275,500
Belgium,3523707425,151653474,120359953,58788421,4516970,57716059,29044080,1537462919,787307855,10487807,438187393,328128284,1900
"France (incl. Monaco, French Antilles)",3312652775,108628194,111380385,42770465,46629792,376591720,81539683,9988,926254234,43983974,1511630652,62633649,84680
India,3160115874,136744529,521008428,66820232,96610656,83764369,44636961,188735166,349861970,2050810,497393469,1172369055,0
Germany,3138246706,92880100,307418586,88342538,5496130,109102562,46198047,321230,1309834325,28850386,1091322575,57974203,19127
Norway,2238498244,47055846,29703503,9703595,3244009,95287880,66872905,17163,1830836416,106731,154124513,1489860,6250
Brazil,2177220477,161986713,312870236,34935530,29154628,34542876,13451805,0,425605980,7191582,579625497,577803196,0
Indonesia,2028023170,242590442,219620302,87341763,63509099,18129746,107504586,0,167752150,13833640,414239530,693373194,0
Australia,1759294726,258546258,366557861,84006443,12873012,5940935,20034110,879421,539150195,29510150,382244824,59299269,8596
United Arab Emirates,1755322070,264141257,68380309,75384550,6729139,2137855,6574581,29789,565070153,1450200,450436800,314939565,0
Switzerland,1502245183,77929030,19840953,5746583,774573,12049227,3401433,0,1130117577,7855097,242528448,1866910,5757
Taiwan,1403339930,206928895,550754706,93947706,1846249,66477545,16871462,0,264176356,6254054,178030875,16642648,0
Singapore,1308869810,150092211,126805759,78613637,1043207,1458955,18580979,94327,558178430,6422814,343253940,24142933,25349
Russia,1248146898,260617434,55932023,142853396,5081862,39026037,14101735,600,244719862,2776859,468044023,14826968,109894
Saudi Arabia,1245756453,209852370,54918534,49170333,6324160,703848,1785026,0,578203328,533847,267521941,76688509,0
Chile,1136010839,166483862,126429829,30536440,3920939,225650681,6509682,21228,210795018,3667965,292409357,69539326,0
Spain,1126781707,38870382,29041682,40470078,4490788,242337003,15232689,9103,264855914,5310639,412040983,74109658,250
Turkey,1066761411,38077847,78982997,40235493,82096457,66871816,18317021,0,122761895,141515,306846143,311764979,8000
Colombia,935687076,184801942,47181083,77706562,46388194,8872643,2746295,0,185088762,0,146204557,236552705,127429
Malta,835522059,320933,1299647,563368,1673,187936,3544,0,2821404,53874,829737469,532211,0
Peru,797066376,153341258,71940246,74487924,11608533,2752192,1748539,0,129330786,76902,123966488,227801781,0
Malaysia,793742110,113105715,82355535,11693346,3647831,1551760,5392537,0,236682711,2091160,89487336,247419469,0
Thailand,716374108,60614207,106312005,19361894,48437112,6056102,6734414,12600,189529304,5311436,177245829,96687288,0
Bangladesh,708295284,114107036,7165195,58070427,2331196,0,2051733,0,61397339,0,50672285,412500073,0
Venezuela,681463227,174686438,9137522,55422532,2320262,14527031,732586,0,48364413,2964453,117070006,256237984,0
Finland,598561995,18633868,96994217,7319101,1013131,46346161,551565,0,112884588,410870,313666625,741869,0
Botswana,596850879,62908,902531,0,0,0,0,260209354,334841545,0,821475,12348,0
Philippines,544208059,41226383,206424030,40926920,238247,105184,2190355,0,116161010,2633616,79702901,54572855,0
Nigeria,531586718,123142594,6330442,44439107,512519,1027144,5197854,0,164549336,950088,73563793,111873841,0
Ireland,507490144,34580892,18624596,19129044,1673047,80054489,1300459,0,252380649,6055628,89370709,4298470,0
Vietnam,477417291,34347865,106759215,6410622,7132415,54119203,29523786,0,121725582,5237609,42941888,68793877,0
Egypt,464283385,29051382,12009089,33371934,40309197,302671,1041974,3348,116158667,700792,146803585,84508313,22433
Algeria,458773351,53236359,1214265,4168959,0,70067,50622,0,13141442,149537,63262271,323479829,0
