Country,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Nunavut,Northwest Territories,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
United States,250988680468,17559970982,13354360922,7358153691,3260742134,426761520,3125552741,300832,765959,149389212491,586352624,47080015915,8844703600,1787057
China,15990791732,2729239737,4749067344,924594220,85617364,164496344,278061458,1289762,794731,2306852039,11561414,1914790726,2824349713,76880
United Kingdom,14059675869,192506051,428397574,85938569,42514709,119740229,96695195,283782,613737,11658677125,13394980,1327464629,93442403,6886
Japan,7967078482,1509590681,1750246361,712871916,66345704,32932495,68202207,391631,18240,2014095237,20421709,824579272,967271514,111515
Mexico,5340017002,893063966,78125849,344396899,14720077,3236160,13079182,244224,3375,2173422075,498335,1206864388,609312743,3049729
Hong Kong,4528500226,228231825,276432308,136448971,9178596,25899052,46594737,138398,338095,3456663875,5519880,319505024,23549465,0
Belgium,3246927487,127619274,72964606,57434703,4516970,2428888,28985442,52310,1537462919,758754044,10402930,318175217,328128284,1900
Netherlands,2598017341,454417968,174929449,27648001,11623202,19719475,50182705,459194,1054,629325039,8513874,1148563932,72632948,500
India,2582566219,58593315,129213827,63514725,96610656,5640545,28830532,120229,188735166,345939697,1247133,491751339,1172369055,0
Italy (incl. Vatican City State),2501818902,180561638,129568640,32093646,16519018,363042,5902135,114606,258,1137658896,3138628,458099861,537776889,21645
"France (incl. Monaco, French Antilles)",2412052027,107599237,107370855,36346575,8889680,19906243,76618521,515359,9988,923326685,36899633,1031981397,62503174,84680
Germany,2382624637,83542130,233742549,87649984,5408969,4592505,45432480,484786,321230,1101633332,26404478,735544706,57848361,19127
"Korea, South",2281376833,457143159,673108601,80807865,3275242,18436613,57243682,425061,36603,499349179,44827335,361133962,85505230,84301
Norway,2112143824,46856948,29458153,9699095,3244009,9801744,28006282,49573,17163,1830198710,106731,153209306,1489860,6250
Indonesia,1971398710,233944175,219538690,87216417,63509099,18129746,107068360,128718,0,165546516,10744866,372198929,693373194,0
Brazil,1803664791,109379089,55672280,28611406,28023555,22176842,12573224,52434,0,411744235,561391,557067139,577803196,0
