Industry,City,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
All Industries,Calgary,48658.55203,51115.04745,50139.84183,50766.78063,51354.52535,52110.63565,55020.22793,58813.81413,60167.1176,61494.26283,66325.36838,69031.66713,69955.37895,74148.3414,75652.8866,76872.06405,78968.51773,83397.57855,87894.29098,94176.475,96549.4032,97956.2749,94058.521,98206.07855,103428.9738,107349.2195,111365.7203,116345.775
Business Services,Calgary,2210.67819,2479.617668,2616.169433,2773.55412,2818.478833,2653.45106,2922.76047,3220.474505,3462.643205,3645.21925,4235.17296,4820.193188,5200.356955,5722.653578,6351.727673,6635.86184,7030.564748,7616.10811,8020.735698,8782.255628,9325.136655,9727.151833,9475.086033,9424.245278,9871.300165,10423.03838,10741.55153,11177.15
Construction,Calgary,2198.306518,2313.646758,2322.638948,2532.117178,2231.72084,2029.61271,2351.592313,2612.853925,2747.931045,2923.942393,3537.584218,4042.523938,4007.073963,4792.294425,5197.774965,5174.089228,5184.57839,5706.590108,6636.011603,7218.981955,7673.989873,8303.200768,6699.513635,7985.62895,8632.425355,9194.68205,9821.6552,10446.515
Education and Healthcare,Calgary,3331.850158,3337.16329,3477.173918,3498.418678,3555.076623,3599.192793,3749.383083,3723.83776,3695.191098,3737.92517,3687.011718,3859.4384,4040.423663,4412.027688,4653.786145,4857.749208,5165.296158,5392.745395,5733.243888,5999.848273,6286.04716,6610.728498,6864.04243,6989.286443,7215.546913,7550.210135,7907.726305,8086.6535
"Finance, Insurance and Real Estate",Calgary,5209.061098,5139.160583,5360.336998,5696.004923,5722.492903,5755.999308,5993.894995,6566.26256,6788.48502,7128.436098,7593.982243,8184.684078,8494.55104,9156.91762,9910.29856,10525.88218,11172.47933,11780.66923,12404.13958,13513.52033,13986.72563,14568.93133,14675.40263,15111.10785,15634.7263,16139.40198,17000.44383,17720.45
Information and Cultural Industries,Calgary,519.290031,573.91362,630.0560235,658.6469658,705.2799583,725.445348,780.9228805,870.6015713,930.7659048,1023.5677,1315.43546,1577.774888,1734.816143,2006.543603,2216.898695,2318.527283,2495.05815,2696.302215,2780.369558,2945.056725,2916.880693,2963.613688,2986.215433,3113.353035,3227.027825,3321.863118,3375.498703,3401.15125
Manufacturing,Calgary,1784.360418,1972.609383,2083.08527,2298.04255,2281.359033,2188.68214,2426.217653,2859.405975,3046.592368,3450.91793,4754.824135,5009.151255,4961.508643,5912.944405,5763.788973,5574.958918,5387.788058,5909.20987,6421.877203,6721.211723,6579.840518,6535.04149,5602.960508,5965.68406,6563.405853,6619.94958,6552.62989,6730.7355
Personal Services,Calgary,1461.48939,1570.585253,1615.780185,1700.620233,1588.995713,1562.882688,1672.055438,1813.594143,1862.044533,1903.444573,2201.737808,2335.961035,2421.025488,2622.153055,2864.041218,2997.00251,3081.657305,3242.378203,3362.537233,3582.544673,3694.56823,3804.51501,3789.32518,3768.687823,3939.213703,4184.510313,4319.978263,4400.0495
Primary and Utilities,Calgary,26214.39825,27714.18,25801.51238,25384.8588,26473.49103,27595.74318,28842.10025,30113.12265,30634.34448,30150.30175,30558.0901,30042.19288,29441.15348,29203.53123,27755.37173,27554.77883,27715.14395,28822.93578,29450.2785,31249.2236,31286.60083,30578.8419,29535.53635,30918.6779,32483.39275,33536.93438,34863.70528,36826.375
Public Administration and Defence,Calgary,1575.71386,1546.174008,1553.840278,1608.899353,1598.470175,1586.724323,1590.622123,1642.051798,1690.29222,1785.027923,1942.044263,2068.786555,2184.873863,2224.296785,2226.949058,2257.30248,2341.562385,2384.092913,2480.839648,2614.06254,2801.384805,2984.334173,3183.222063,3237.838228,3276.176235,3231.692255,3178.446953,3085.00525
Transportation and Warehousing,Calgary,1350.365138,1477.678168,1529.275733,1523.159245,1491.922073,1572.424398,1704.873205,1941.583813,2024.243948,2201.766198,2583.9939,2832.937528,3019.936728,3271.878215,3482.791068,3497.82016,3585.900728,3704.319673,3990.63628,4252.147303,4331.976755,4112.38325,4011.66644,4167.839618,4486.24772,4722.228363,4915.389705,5299.035
Wholesale and Retail Trade,Calgary,2803.038953,2990.318738,3149.972668,3092.458605,2887.238148,2840.477723,2985.805538,3450.025378,3284.583795,3543.713823,3915.491578,4258.023385,4449.65897,4823.10083,5229.458475,5478.091488,5808.48856,6142.227078,6613.621785,7297.622248,7666.252078,7767.532948,7235.55033,7523.729323,8099.510998,8424.70868,8688.69452,9172.61675
All Industries,Edmonton,30643.2161,32034.53485,32710.876,33679.47073,33252.16895,32955.9821,34815.08525,37674.2095,38483.79608,40007.16845,43992.89845,46296.52125,46909.4195,50289.17465,51975.48645,52938.87453,54485.91658,57278.96623,60484.12228,64373.55853,66363.62158,68391.76313,66013.73565,69954.382,75025.86128,79223.0195,83509.2382,88166.755
Business Services,Edmonton,1847.4662,1985.673813,2014.525275,2059.203463,2035.487363,1893.48527,2084.326233,2285.551983,2413.420588,2468.725763,2769.183958,3036.053128,3169.819453,3419.59226,3775.52468,3963.429805,4201.849645,4508.238833,4689.730565,5098.42652,5418.694388,5685.388695,5574.67735,5561.64299,5816.3736,6132.266213,6329.677733,6610.7995
Construction,Edmonton,2441.243335,2595.458323,2622.945545,2863.45057,2495.38018,2198.076233,2411.634603,2520.437098,2515.151193,2570.286845,3025.260605,3431.552778,3442.932888,4222.638413,4731.868775,4847.86524,4946.995463,5486.476998,6385.522895,6914.225578,7297.71886,7868.98563,6399.297655,7800.369163,8664.737023,9427.587553,10135.175,10733.6975
Education and Healthcare,Edmonton,4302.035083,4385.977515,4633.923865,4688.134748,4741.683648,4723.775388,4812.671315,4684.187833,4559.751575,4526.036543,4394.415755,4553.949195,4743.545105,5161.597833,5425.673945,5616.93058,5887.264213,6026.984328,6262.810035,6452.539138,6732.268508,7083.031443,7345.591568,7444.181588,7604.750963,7818.87323,8008.277333,8025.3135
"Finance, Insurance and Real Estate",Edmonton,4724.363225,4679.22757,4899.446988,5217.4124,5262.93762,5296.38812,5493.021273,5958.542883,6083.678863,6338.726813,6754.750835,7283.667713,7517.15194,8012.01525,8521.277915,8815.581358,9074.411708,9306.726265,9576.207363,10241.96093,10495.4755,10905.28403,11051.56948,11482.84493,12020.511,12517.29948,13235.82338,13790.83
Information and Cultural Industries,Edmonton,693.8105748,773.0188328,841.8541015,866.257519,910.6517783,917.8046833,962.2738718,1024.262088,1023.12641,1041.024638,1236.506405,1367.40158,1381.320943,1474.668755,1529.848255,1541.87166,1647.208405,1824.717828,1961.35485,2171.013978,2214.781245,2262.247473,2250.767618,2290.343913,2299.172075,2276.520203,2247.519848,2233.1975
Manufacturing,Edmonton,2144.01603,2314.638298,2408.61802,2657.10875,2677.059185,2609.409433,2887.629963,3320.932028,3395.284515,3680.950888,4907.469643,5051.524775,4913.357313,5764.699155,5598.034345,5453.38545,5323.815948,5893.16405,6430.9764,6716.196938,6535.847208,6416.497768,5443.116433,5814.416888,6558.421733,6897.677313,7211.598243,7791.109
Personal Services,Edmonton,1730.370368,1809.259988,1816.98032,1878.289748,1731.183178,1685.431815,1789.70579,1924.537033,1955.882888,1973.859925,2245.056218,2332.990793,2362.364728,2494.251175,2659.219173,2736.373643,2795.59039,2943.42234,3062.71359,3263.636838,3352.316205,3435.027208,3419.474695,3413.766865,3584.440273,3825.83811,3980.00134,4091.276
Primary and Utilities,Edmonton,5500.354163,5887.899138,5549.194705,5400.733893,5562.359438,5791.934105,6320.551995,7246.225133,8192.052545,8846.194173,9542.562113,9712.801358,9509.970885,9224.807695,8544.172038,8342.301625,8345.629975,8446.068103,8342.552023,8568.78094,8602.609563,8757.48755,8852.525593,9857.524803,11053.82835,12159.52018,13453.93508,14896.5275
Public Administration and Defence,Edmonton,2843.118035,2878.85921,2967.632105,3116.103988,3100.854742,3043.736153,2971.718785,2924.665678,2816.224103,2776.393635,2871.698373,2999.280483,3217.75001,3421.523338,3607.913205,3817.437968,4055.091003,4146.54987,4268.276255,4382.214305,4523.649675,4688.234928,4960.67374,5084.009508,5235.48493,5296.352393,5384.011218,5412.27325
Transportation and Warehousing,Edmonton,1453.942195,1533.765238,1542.823948,1515.494143,1475.731995,1535.39122,1617.63194,1770.976273,1766.575433,1828.079865,2034.495843,2117.060118,2180.034813,2332.990588,2477.21953,2493.81068,2581.964045,2704.763928,2962.939815,3224.979598,3352.02681,3216.798305,3139.207803,3255.98708,3512.758475,3740.910138,3978.054348,4385.97725
Wholesale and Retail Trade,Edmonton,2962.496905,3190.756933,3412.93114,3417.281515,3258.839835,3260.549693,3463.919488,4013.891503,3762.64797,3956.889385,4211.498713,4410.239328,4471.171443,4760.390218,5104.73459,5309.886523,5626.095763,5991.85368,6541.038473,7339.583738,7838.23362,8072.780073,7576.833738,7949.294253,8675.382863,9130.174718,9545.164685,10195.75525
All Industries,Vancouver,52380.37855,54841.74053,57436.9817,58886.89755,59789.07328,61734.51393,64259.7558,67286.71343,68820.54053,70388.8597,72862.11198,74036.50013,76683.30068,80740.03285,81385.37633,84484.91115,87155.07085,90711.829,94826.98183,98395.0449,101375.1898,102434.4855,100562.5325,104041.2273,107423.4188,110392.7073,113457.8085,116742.25
Business Services,Vancouver,3536.270515,3929.295253,4196.026003,4409.66072,4446.584258,4418.474765,4822.093808,5087.060963,5454.118508,5577.343283,6074.258728,6571.735215,6511.564633,6820.33434,7009.873675,7255.814703,7464.630538,7890.103723,8406.672035,9007.315178,9597.223438,9858.992953,9344.335223,9350.858753,9544.994905,9788.005013,9980.855245,10356.605
